question,answer
Where did Joe Shortell spend 15 years of his career before starting his own firm?,Joe Shortell spend 15 years of his career before starting his own firm At the College Board.
Can you specify Joe Shortells position at the College Board?,"Joe Shortell held the position of Executive Director, Talent Management  Development at the College Board."
In what field was Joe Shortell working during the first chapter of his career?,Shortell was working earlier in his life as a High school science teacher.
What kind of work did Joe Shortell do at the College Board?,Joe Shortell  was the Executive director of Talent Management  Development in college Board.
What degrees did Joe Shortell earn?,Sortell did Bachelors in physics and masters in English.
Where will Joe Shortell be joining as an instructor in 2023?,Shortell joined Sy Syms School of Business.
What expertise did Joe Shortell gain while working at the College Board?,Sortell has Expertise in Talent Management  Development.
What is the focus of Dr. Honggang Wangs recent research?,"Dr Wangs research focus is Research in Artificial Intelligence, digital health, 5G6G, and cybersecurity."
Can you tell me where Dr. Honggang Wang earned his Ph.D.?,Dr Wang earned his Ph.D at University of NebraskaLincoln.
What position will Dr. Honggang Wang hold at Yeshiva University?,Dr Honggang Wang is the Professor and founding chair of the Department of Graduate Computer Science and Engineering at Katz School of Science and Health.
Where did Dr. Honggang Wang work before joining Yeshiva University?,Dr. Honggang Wang worked in University of Massachusetts Dartmouth before joining Yeshiva.
What is the main focus of Dr. Lisa GordonHandlers research?,"Dr. Lisa GordonHandlers main focus is on Research on student profiles, learner characteristics, selfawareness, and metacognitive skills."
What was Dr. Lisa GordonHandlers previous role before joining Yeshiva University?,Dr. GordonHandler was Fulltime associate professor at Long Island University before joining Yeshiva.
What is Dr. Lisa GordonHandlers educational background?,Dr. Lisa has Ph.D. in organizational psychology and M.A. in occupational therapy.
Which school is Dr. Lisa GordonHandler joining at Yeshiva University?,Dr. Lisa GordonHandler joined Katz School of Science and Health at Yeshiva.
Where did Dr. Rachel Fryman obtain her Ph.D.?,Dr. Rachel Fryman got her Ph.D at Smith College School for Social Work.
What academic degrees did Dr. Rachel Fryman earn?,Dr. Fryman did her M.S.W. and Specialized Honours B.A.
In which programs did Dr. Rachel Fryman serve as an adjunct instructor at Wurzweiler?,Dr. Rachel Fryman did her M.S.W. and new Doctorate in Social Work programs.
What are Dr. Rachel Frymans teaching and research interests?,"Dr. Rachel Frymans teaching and research interests are Social work values, ethics, neurodiversity, and vulnerable demographics in the Jewish community."
Where did Dr. Peter Franz earn his B.S. degree?,Dr. Peter Franz earned his Bachelor of Science degree from Cornell University.
What degrees did Dr. Peter Franz complete at Harvard University?,Dr. Peter Franz completed his Master of Arts M.A. and Doctor of Philosophy Ph.D. degrees at Harvard University.
Where did Dr. Peter Franz complete his postdoctoral research fellowship?,Dr. Peter Franz completed his postdoctoral research fellowship at Montefiore Medical CenterAlbert Einstein College of Medicine.
What is Dr. Peter Franzs role at the Ferkauf Graduate School of Psychology?,Dr. Peter Franz serves as an Assistant Professor at the Ferkauf Graduate School of Psychology.
What is the primary focus of Dr. Peter Franzs research?,The primary focus of Dr. Peter Franzs research is improving suicide prevention strategies in adolescents and young adults.
Where does Robert Auslander work as a Vice President and Head of Internal Audit?,Robert Auslander works as the Vice President and Head of Internal Audit at Bausch  Lomb.
Where did Robert Auslander hold the position of Vice President for Policies  Technical Accounting?,Robert Auslander held the position of Vice President for Policies  Technical Accounting at Bausch Health.
What are Robert Auslanders educational qualifications?,Robert Auslander holds an MBA in Finance and a BS in Accounting with a minor in Economics.
Which courses will Robert Auslander teach at the Sy Syms School of Business?,Robert Auslander will teach Accounting Capstone and Accounting Information Systems at the Sy Syms School of Business.
What role did Dr. Peter Franz hold last fall at the Ferkauf Graduate School of Psychology?,"Last fall, Dr. Peter Franz was an adjunct faculty member teaching statistics at the Ferkauf Graduate School of Psychology."
What university awarded Dr. Rachel Fryman her M.S.W.?,Dr. Rachel Fryman was awarded her Master of Social Work M.S.W. by the Wurzweiler School of Social Work.
Where did Dr. Rachel Fryman complete her Specialized Honours B.A.?,Dr. Rachel Fryman completed her Specialized Honours Bachelor of Arts B.A. at York University.
Where did Dr. Peter Franz serve as an adjunct faculty member?,Dr. Peter Franz served as an adjunct faculty member at the Ferkauf Graduate School of Psychology.
What did Dr. Rachel Fryman study at Smith College School for Social Work?,Dr. Rachel Fryman studied for her Doctor of Philosophy Ph.D. at Smith College School for Social Work.
What is Dr. Peter Franzs academic background?,"Dr. Peter Franzs academic background includes a B.S. from Cornell University, and both M.A. and Ph.D. degrees from Harvard University."
What is the focus of Dr. Peter Franzs research?,The focus of Dr. Peter Franzs research is on suicide prevention in adolescents and young adults.
Where does Robert Auslander currently work as a Vice President and Head of Internal Audit?,Robert Auslander currently works as the Vice President and Head of Internal Audit at Bausch  Lomb.
What is Dr. Erica Browns role at Yeshiva University?,Dr. Erica Brown is the Vice Provost for Values and Leadership and the founding director of the Rabbi Lord Jonathan SacksHerenstein Center for Values and Leadership at Yeshiva University.
Where did Dr. Erica Brown previously work as the director of the Mayberg Center for Jewish Education and Leadership?,Dr. Erica Brown previously worked as the director of the Mayberg Center for Jewish Education and Leadership at The George Washington University.
What is Dr. Moishe Banes background and role at Yeshiva University?,"Dr. Moishe Bane, a former president of the Orthodox Union OU, teaches Designing Your Jewish Life at Yeshiva University."
How many books has Dr. Erica Brown authored?,Dr. Erica Brown has authored 15 books.
"What was the focus of Dr. Erica Browns recent book Esther Power, Fate and Fragility in Exile?","Dr. Erica Browns recent book, Esther Power, Fate and Fragility in Exile, focuses on the biblical story of Esther."
"In addition to teaching at Yeshiva University, what other roles has Dr. Moishe Bane held?","In addition to teaching, Dr. Moishe Bane has held roles such as the national chairman of NCSY and founding editor of Klal Perspectives."
Where did Robert Auslander have Senior Director roles before joining Sy Syms School of Business?,Robert Auslander had Senior Director roles at Tyco International and Avis Budget Group before joining the Sy Syms School of Business.
What did Dr. Peter Franz teach as an adjunct faculty member last fall?,"As an adjunct faculty member last fall, Dr. Peter Franz taught statistics."
Where did Moishe Bane serve as president?,Moishe Bane served as president of the Orthodox Union OU.
What academic qualifications does Dr. Peter Franz hold?,"Dr. Peter Franz holds academic qualifications of B.S., M.A., and Ph.D."
What is Bipasha Ghoshs role at Dali Spaces since 2020?,"Since 2020, Bipasha Ghosh has served as the Chief Marketing Officer at Dali Spaces."
Where has Bipasha Ghosh worked in the past?,"In the past, Bipasha Ghosh worked as Vice President for International Marketing  Digital for NBCUniversal Media, Global Director of Marketing for Reuters Media, Head of Marketing Asia Pacific for BBC World, and CNN International."
What additional coursework has Bipasha Ghosh completed at MIT Sloan?,"Bipasha Ghosh has completed additional coursework in Artificial Intelligence, Digital Marketing Analytics, and Blockchain Technologies at MIT Sloan."
What courses will Bipasha Ghosh be teaching at the Sy Syms School of Business?,Bipasha Ghosh will be teaching Reimagining Marketing with Emerging Technologies and Startup Marketing at the Sy Syms School of Business.
What was Prof. David Sables role at YR?,Professor David Sable was the Global CEO and Chairman at YR.
What did Prof. David Sable launch during his time at YR?,"During his time at YR, Professor David Sable launched Healthcare and B2B practices, as well as an inhouse accelerator called The Spark Plug."
What organization is Prof. David Sable currently a CoFounderPartner of?,Professor David Sable is currently a CoFounderPartner of DoAble.
What roles does Prof. David Sable currently serve on the Board of Directors for?,Professor David Sable currently serves on the Board of Directors for UNICEFUSA and the International Special Olympics.
Can you tell me what Matthew Solomsons occupation is today?,"As of now, Matthew Solomson serves as a judge at the federal level."
What are some of the previous roles held by Matthew Solomson?,"Matthew Solomson has held roles such as leading the government contracts practice group at Booz Allen Hamilton, Chief Legal  Compliance Officer for a healthcare company, and Trial Attorney at the U.S. Department of Justice."
What is Matthew Solomson the author of?,"Matthew Solomson is the author of Court of Federal Claims Jurisdiction, Practice, and Procedure."
What are Matthew Solomsons interests outside of his profession?,"Outside of his profession, Matthew Solomsons interests include studying Talmud, playing tennis, and spending time at the beach with his family."
What course will Matthew Solomson be teaching at the Sy Syms School of Business?,Matthew Solomson will be teaching Ethical and Legal Environment of Business at the Sy Syms School of Business.
Where did Bipasha Ghosh work as Vice President for International Marketing  Digital?,Bipasha Ghosh worked as Vice President for International Marketing  Digital at NBCUniversal Media SYFY and USA Network.
What is Prof. David Sables current role?,Professor David Sables current role is CoFounderPartner of DoAble.
What is one of Matthew Solomsons outside interests?,One of Matthew Solomsons outside interests is studying Talmud.
What was one of Dr. Sarah BlochElkoubys prior roles?,One of Dr. Sarah BlochElkoubys prior roles was Assistant Professor at Mount Sinai Beth Israel and Director of the Psychology Program.
What courses will Dr. Rachel Fryman be teaching at the Wurzweiler School of Social Work?,Dr. Rachel Fryman will be teaching ValuesBased Leadership in Life and at Work at the Wurzweiler School of Social Work.
When was Yeshiva University founded?,Yeshiva University was founded in 1886.
Where is the main campus of Yeshiva University located?,The main campus of Yeshiva University is located in New York City.
What is Yeshiva University known for?,Yeshiva University is known for its strong academic programs and commitment to Jewish education.
How many undergraduate schools are part of Yeshiva University?,"Several undergraduate schools are part of Yeshiva University, including Yeshiva College and Stern College for Women."
What is the official motto of Yeshiva University?,The official motto of Yeshiva University is Torah UMadda Torah and secular knowledge.
Who was the founder of Yeshiva University?,Rabbi Dr. Bernard Revel was the founder of Yeshiva University.
What are the academic divisions within Yeshiva University?,"The academic divisions within Yeshiva University include Yeshiva College, Katz School of Science and Health, and Sy Syms School of Business."
Does Yeshiva University offer graduate programs?,"Yes, Yeshiva University offers graduate programs, including law, medicine, and business programs."
What is the role of the Rabbi Isaac Elchanan Theological Seminary RIETS at Yeshiva University?,The role of the Rabbi Isaac Elchanan Theological Seminary RIETS at Yeshiva University is training Orthodox Jewish rabbis.
Which famous basketball player attended Yeshiva University?,Dolph Schayes attended Yeshiva University.
Is Yeshiva University affiliated with any specific Jewish denomination?,Yeshiva University is affiliated with Modern Orthodox Judaism.
What is the annual celebration of Jewish learning and scholarship at Yeshiva University called?,The annual celebration of Jewish learning and scholarship at Yeshiva University is called Yom Iyun.
What is the official school newspaper of Yeshiva University?,The official school newspaper of Yeshiva University is The Commentator.
What is the connection between Yeshiva University and Albert Einstein College of Medicine?,Yeshiva University is the parent institution of Albert Einstein College of Medicine.
Does Yeshiva University have a strong focus on Torah study?,Yeshiva University has a strong emphasis on Torah study and Jewish education.
What is the Wilf Campus at Yeshiva University named after?,The Wilf Campus at Yeshiva University is named after the Wilf family.
What is Yeshiva Universitys role in Jewish education?,Providing Jewish education and leadership within the Orthodox Jewish community
What is the official seal of Yeshiva University?,Includes the words Torah UMadda
How do I start the application process for Yeshiva Universitys undergraduate programs?,The first step in applying to any of Yeshiva Universitys undergraduate programs is to create an account in our online application.
What can I do with the personal portal once I create an account?,"Once you create an account, you can access your personal portal where you will be able to submit your application and supplemental items, and check your application status."
Who is eligible to apply to Yeshiva Universitys undergraduate programs?,Applications are open only to students who have not previously completed a Bachelors Degree.
Where can I find more information about the application process and requirements?,"For more information about the application process and specific requirements, please visit Yeshiva Universitys official website or contact their admissions office."
What are the undergraduate programs available at Yeshiva University for high school seniors or recent high school graduates studying in Israel?,"Yeshiva University offers programs such as Stern College for Women, Sy Syms School of Business, and Yeshiva College for high school seniors or recent graduates in Israel."
What should be the first step when applying to Yeshiva Universitys undergraduate programs?,"The first step is to create an account in the online application, which will provide access to your personal portal for application submission and checking application status."
Who is eligible to apply for Yeshiva Universitys undergraduate programs?,Applications are open to students who have not previously completed a Bachelors Degree.
What academic criteria are expected for applicants?,Applicants are expected to have a high school GPA of 85 or above or a strong B average.
What items are required for the application process?,The Office of Undergraduate Admissions requires the following items for processing your application.
How do I start the application process?,"You can begin by creating an online application account, which provides access to your personal application portal"
What are the steps for submitting the admissions application?,"Once youve submitted the application, the supplemental requirements will populate based on your admission type. Youll be prompted to upload your essay, extracurricular activities, and recommenders contact information"
How do I submit my high school transcripts?,High school transcripts must be sent directly to the Office of Undergraduate Admissions by your high school administration
Are ACTSAT scores required for general admission?,"ACTSAT scores are not required for general admission, but if submitted, they must be sent directly to the Office of Admissions by the testing service."
Is there an application fee?,"Yes, there is a 65 nonrefundable application fee, which can be processed in the personal application portal."
What are the essay topics for the application?,You can choose from two essay prompts Hakarat hatov a thank you letter or Heres how I intend to change the world.
Are there any short answer questions?,"Yes, you can pick three short answer questions and provide responses in 25 words or less."
What should I include in my resumeextracurricular activity list?,"You should upload a resume or extracurricular activity list detailing your involvement, internships, and work experience at school and in your community"
Are official SAT or ACT scores optional for regular decision applicants?,"Yes, official SAT or ACT scores are optional for regular decision applicants"
How can I send official SAT or ACT scores to Yeshiva University?,"Official scores must be sent directly to the Office of Undergraduate Admissions by the testing service e.g., College Board, ACT."
What are Yeshiva Universitys SAT and ACT school codes?,"Yeshiva Universitys SAT school code is 2990, and the ACT school code is 2992."
How can I send my high school transcript to Yeshiva University?,High school transcripts should be sent directly to the Office of Undergraduate Admissions by the high school administration.
Can I choose a teacher to provide a letter of recommendation?,"Yes, please identify a teacher who can comment on your academic ability, potential, personality, creativity, and leadership qualities."
How can I request a letter of recommendation from the selected teacher?,Your personal application portal will allow you to send an email to the teacher you have selected.
Why is an interview required for applicants?,Yeshiva University takes a holistic approach to reviewing applicants. The interview allows the Admissions officer to get to know applicants outside of their application
Can newly admitted students count their College courses taken during High School towards their undergraduate degree?,"Yes, newly admitted students can have their College courses taken during High School count towards their undergraduate"
Who is eligible for Early Admission at Yeshiva University?,"High school juniors with a superior scholastic record who are interested in enrolling at Stern College for Women, Syms School of Business, or Yeshiva College prior to obtaining a high school diploma are eligible for Early Admission."
What academic criteria do Early Admission applicants need to meet?,Early Admission applicants must have a high school GPA of 90 or above and an SAT score of 1340 or above or an ACT score of 29 or above.
What is the first step in the application process for Early Admission?,"The first step is to create an online application account, providing access to the personal application portal for submitting the admissions application and related items"
What are the essay topics for Early Admission applicants?,Early Admission applicants can choose from essay prompts such as Hakarat hatov a thank you letter or Heres how I intend to change the world
Are there any short answer questions for Early Admission applicants?,"Yes, Early Admission applicants can choose three short answer questions and provide responses in 25 words or less"
What should be included in the resumeextracurricular activity list for Early Admission applicants?,"Early Admission applicants should upload a resume or extracurricular activity list detailing their extracurricular involvement, internships, and work experience at school and in the community."
Are official SAT or ACT scores required for Early Admission applicants?,"Yes, official SAT or ACT scores are required for Early Admission applicants"
How can Early Admission applicants send official SAT or ACT scores to Yeshiva University?,"Official scores must be sent directly to the Office of Undergraduate Admissions by the testing service e.g., College Board, ACT"
What are Yeshiva Universitys SAT and ACT school codes for Early Admission applicants?,"Yeshiva Universitys SAT school code is 2990, and the ACT school code is 2992"
How can Early Admission applicants send their high school transcripts to Yeshiva University?,"High school transcripts should be sent directly to the Office of Undergraduate Admissions by the high school administration e.g., college guidance counselor, principal"
How many letters of recommendation are required for Early Admission applicants?,Early Admission applicants are required to provide two letters of recommendation.
Who should the letters of recommendation come from for Early Admission applicants?,"Early Admission applicants should identify two teachers who can comment on their academic ability, potential, personality, creativity, and leadership qualities"
How can Early Admission applicants request letters of recommendation from teachers?,The personal application portal allows Early Admission applicants to send an email to the teachers they have selected
Why is an interview required for Early Admission applicants?,Yeshiva University takes a holistic approach to reviewing Early Admission applicants. The interview allows the Admissions officer to meet all applicants and get to know them outside of their application
Can newly admitted Early Admission students have their College courses taken during High School count towards their undergraduate degree?,"Yes, newly admitted Early Admission students can have their College courses taken during High School count towards their undergraduate degree."
"Who is eligible for application to Stern College for Women, Sy Syms School of Business, or Yeshiva College as an international applicant?",Applicants graduating and graduated from high schools outside of the United States are eligible to apply
What criteria do international applicants need to meet to apply?,International applicants must meet the same academic standards required of freshmen and demonstrate proficiency in the English language.
What is the first step for international applicants in the application process?,International applicants should create an online application account to access their personal application portal for submitting admissions materials.
What materials are required for the application process for international applicants?,"To process an application, international applicants must submit the following materials"
What are the essay topics for international applicants?,International applicants can choose from essay prompts such as Hakarat hatov a thank you letter or Heres how I intend to change the world
Are there any short answer questions for international applicants?,"Yes, international applicants can choose three short answer questions and provide responses in 25 words or less."
What should be included in the resumeextracurricular activity list for international applicants?,"International applicants should upload a resume or extracurricular activity list detailing their extracurricular involvement, internships, and work experience."
Are standardized test scores required for international applicants?,The SAT I or ACT is required only for international students applying to the Honors Programs. Standardized test scores are not required for Regular admission.
What English proficiency exams are required for international applicants?,"International students must take either the IELTS, TOEFL IBT, or the Duolingo English Test DET if specific criteria apply"
What is the minimum TOEFL score required for international applicants?,"Yeshiva University requires a minimum TOEFL score of 82 on the Internetbased test, with a minimum score of 21 in both reading and writing"
What is the minimum Duolingo English Test score required for international applicants?,Yeshiva University requires a minimum overall score of 115 on the Duolingo English Test
What IELTS score do international applicants need to present,International applicants must present an overall IELTS score of 7
Do general admissions applicants graduating from high schools outside of the United States require the SATACT?,"No, general admissions applicants from outside the United States do not require the SATACT. However, a qualifying score on the SATACT combined with a strong academic record can exempt applicants from English proficiency exams and increase eligibility for meritbased scholarships"
How should high school transcripts be sent for international applicants?,High school transcripts must be sent directly to the Office of Undergraduate Admissions by the high school administration. Transcripts not in English or Hebrew should be officially translated and evaluated by a NACES approved agency.
How many letters of recommendation are required for international applicants?,International applicants should provide two letters of recommendation.
Who should the letters of recommendation come from for international applicants?,"The letters of recommendation can come from two people, preferably one from a clergyman, who can help the Admissions Committee understand why the applicant is a great fit for Yeshiva University"
How can international applicants request letters of recommendation?,Requests for letters of recommendation can be done through the application portal
How can international applicants schedule an interview with a Yeshiva University Admissions Office?,International applicants can schedule an interview by emailing Rabbi Ari Solomont at solomont@yu.edu
Why is an interview required for international applicants?,Yeshiva University takes a holistic approach in reviewing international applicants candidacy. The interview allows the Admissions officer to meet all applicants and get to know them outside of their application
What programs can students apply for at Yeshiva University for honors study?,"Students can apply for the S. Daniel Abraham Honors Program at Stern College for Women, the Jay and Jeanie Schottenstein Honors Program at Yeshiva College, or the Business Honors and Entrepreneurial Leadership Program at Sy Syms School of Business"
Can students apply to these honors programs directly from high school or during posthighschool study in Israel?,"Yes, students can apply to these honors programs either directly from high school or while engaged in posthighschool study in Israel."
What opportunities do honors students have in these programs?,"Honors students participate in advancedlevel courses, engage in unique extracurricular activities, complete an intensive senior thesisproject, and are eligible for a generous scholarship towards tuition."
What happens if a student declines their offer of admission to attend another university?,Students who decline their offer of admission to attend another university will forfeit their seat as well as the scholarship and will not be reconsidered for any meritbased award at a later date
What are the deadlines for applying to the Honors Programs in 20232024?,"The deadlines are as follows Early Decision Honors  November 1, Regular Decision Honors  December 21, Israel Honors Applicants  December 21"
What is the critical deadline students must meet to secure their admission and scholarship?,Offers of admission are contingent on a student submitting an Intent to Enroll Form by the May 1st deadline. Enrollment in another university will be considered a forfeiture of Honors admission and scholarship
What criteria are considered for successful Honors applicants?,"Successful Honors applicants demonstrate strong academic achievement, extracurricular involvement, leadership experience, and advanced written and oral presentation skills"
"What are the average criteria for the current Honors cohort in terms of GPA, SAT, and ACT scores?","The current Honors cohort averages a GPA of 94, SAT score of 1460, and ACT score of 32"
What are the SAT and ACT score requirements for Early Decision Honors?,"For Early Decision Honors, the latest SAT and ACT scores accepted will be the October tests"
What are the SAT and ACT score requirements for Regular Decision Honors?,"For Regular Decision Honors, the latest SAT and ACT scores accepted will be the December tests"
Can you explain the twostage review process for Honors applicants?,Honors applicants are reviewed in a twostage process
What materials should students submit in Stage 1 of the Honors application process?,"In Stage 1, students must submit the following items by the application deadline"
What are the essay prompts for Honors applicants?,"Honors applicants must respond to essay prompts such as You just completed your 1000page autobiography, please submit page 613 and Discuss a challenge to one of your core beliefs and how you responded"
Are there short answer questions for Honors applicants?,"Yes, Honors applicants can choose from short answer questions related to character traits like kindness, trust, and time"
How many short answer questions should Honors applicants pick?,Honors applicants should pick four short answer questions to answer
What materials should be included in the resumeextracurricular activity list for Honors applicants?,"Honors applicants should upload a resume detailing their extracurricular involvement, internships, and work experience at school and in their community"
